customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1839-PWBSY,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.54,415.56,Yes
5761-YHIFQ,Female,1,No,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,101.68,3007.98,No
4257-ENCPX,Male,0,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,97.09,2940.16,No
4655-VNNXR,Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,120.0,951.8,Yes
1679-QZNJU,Female,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.31,886.01,Yes
3667-DKMZM,Female,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.08,1360.09,No
9459-GVRAO,Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),108.09,861.51,Yes
5252-TLEMC,Female,0,No,No,66,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),72.26,4759.57,Yes
8984-QSOEA,Male,1,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),41.92,790.54,No
2593-EGWFD,Male,1,Yes,No,72,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),74.77,5383.58,No
2254-QARPK,Male,0,No,No,63,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),82.25,5176.07,No
4684-AAPNN,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,120.0,3024.69,No
8569-MIJWW,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,86.7,2771.78,Yes
4359-VQLIQ,Male,0,No,Yes,55,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),103.39,5685.17,No
4795-GGPHD,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,110.22,1183.49,No
4226-MTYWC,Male,1,Yes,No,20,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.0,1488.35,No
1899-LBMXQ,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),110.21,7928.64,No
6739-ELVCJ,Male,0,No,Yes,51,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,68.6,3510.69,No
9128-PFTPJ,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,103.74,2367.06,Yes
2418-RXJJX,Female,0,No,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.16,587.19,No
7207-ALJBS,Female,0,No,Yes,16,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,80.35,1254.94,No
6116-XMZHD,Female,0,Yes,No,21,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,89.79,1872.99,No
6117-KPAMS,Female,0,Yes,No,41,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),83.76,3444.72,No
5011-OCBMR,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,103.99,2194.72,No
5577-HLGYB,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,40.79,1852.37,No
9545-YQQFP,Female,0,No,Yes,8,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,79.95,647.76,Yes
9948-EWIVL,Male,0,No,Yes,40,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,75.2,3006.73,No
9520-EPOBT,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,101.58,1228.18,Yes
4147-QIQDT,Female,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.07,2609.29,Yes
7041-VLZWV,Male,1,Yes,Yes,15,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.2,1128.6,Yes
5946-XKWRO,Female,0,Yes,No,40,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.53,3500.25,No
6221-XMZDC,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,65.29,608.81,No
5485-VLIQV,Male,0,No,Yes,46,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.82,3868.5,No
7470-EINGZ,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,105.15,2805.79,No
2375-ROIDS,Female,0,No,No,23,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,73.04,1677.45,No
3737-KREOY,Female,0,No,No,17,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,80.68,1398.69,No
3250-CNBYW,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.7,715.52,No
1666-ZCGIE,Female,0,Yes,No,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,81.8,5066.55,No
2141-TBRJW,Female,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.31,672.59,No
9620-YFKOI,Female,0,Yes,No,62,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,95.24,5897.17,No
6886-DLQTA,Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,119.99,8638.91,No
8657-ZNRZB,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.82,1050.54,No
6735-CCBIE,Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),118.76,819.22,No
6302-LBEUD,Male,0,No,No,52,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,69.32,3586.5,No
9893-LDKHM,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,41.81,2164.15,No
6733-KKPAF,Female,0,No,No,63,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),97.82,6179.81,No
7571-NOSEV,Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,3106.99,Yes
6819-TRVYF,Female,0,No,Yes,34,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,68.38,2373.8,No
2072-ZLEJW,Female,0,No,No,19,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,76.31,1458.8,Yes
2079-BCGBP,Male,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),38.61,743.52,No
2038-UJMES,Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.26,3728.45,Yes
7915-XCIVS,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,6637.51,No
6615-LDFAF,Male,0,No,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,99.15,4652.41,No
4182-JDHQW,Female,0,No,Yes,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),88.77,2497.53,No
7184-BMOIQ,Female,1,No,No,59,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,97.45,5737.02,No
3644-UTMBN,Male,0,No,No,9,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.4,514.65,Yes
2839-FRKXC,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,52.06,3739.34,No
2015-GRNXR,Male,0,Yes,No,10,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,74.98,751.92,Yes
4392-ZEOLS,Male,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,98.29,2633.68,Yes
7319-CMMHZ,Male,1,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.27,1263.44,No
6692-PORMK,Male,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,98.83,3392.8,No
2401-UXJMR,Female,0,Yes,Yes,55,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,87.25,4808.35,No
8501-GXATT,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.84,485.91,No
7356-SQAOB,Female,1,Yes,No,35,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,70.93,2492.76,Yes
2213-LWHTQ,Male,0,Yes,Yes,45,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,81.07,3660.35,No
5710-PODLX,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.87,2812.56,No
3065-JOYOE,Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,104.19,2290.15,No
3525-JTYZU,Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,94.04,2931.33,No
3195-ZOVZP,Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.26,1026.61,No
1478-LXWCJ,Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),87.11,3778.87,No
5018-WYLSV,Male,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.43,1416.29,No
3903-VKATZ,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,119.81,2626.43,Yes
5305-GSMFC,Male,0,No,Yes,27,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,77.17,2062.44,No
2955-SAGLO,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.71,1216.36,No
8477-GPUAN,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),49.55,565.23,No
2999-GSCCE,Female,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,103.73,3831.48,Yes
1845-FQUCL,Male,0,Yes,No,36,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,77.66,2826.56,No
1338-NHRWE,Male,1,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,41.4,521.13,No
2933-LHDWN,Female,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),105.74,4106.84,No
3506-VLHAS,Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,66.98,4845.98,No
3658-SJLHW,Female,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,91.15,1370.16,Yes
7044-SGSNG,Male,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.39,497.91,No
4763-FHWAQ,Male,0,Yes,No,44,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),79.45,3513.7,No
2878-YNCLL,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,98.77,2169.31,No
1607-YURRV,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.87,5804.41,No
9574-IDSKV,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),106.7,2752.13,No
1660-YIDJL,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),100.56,1843.59,No
2314-JEIJL,Female,0,No,No,26,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Electronic check,78.68,2043.22,No
9535-HCCWY,Male,1,No,Yes,43,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,69.85,3014.4,No
1014-ONVCH,Female,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.76,1661.87,No
9114-FCBMK,Male,0,Yes,No,9,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),85.05,760.74,No
1517-DYLDY,Female,1,Yes,No,43,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,111.87,4797.72,No
4617-FXNRS,Female,0,Yes,Yes,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.36,1963.52,Yes
9911-BJOJO,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.7,1134.24,No
2684-PDUEV,Female,0,No,No,37,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,110.07,4045.0,No
7756-WMDFF,Male,0,Yes,No,12,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),76.15,911.82,No
8434-VLNWP,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.57,765.2,Yes
4345-OSBXI,Male,0,No,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),114.82,1016.77,Yes
7126-KNUOT,Male,0,No,No,53,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.19,3683.52,Yes
6358-HVQBQ,Female,1,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.73,1684.93,No
3862-TZGHC,Female,1,Yes,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.77,253.05,Yes
2759-XHOHO,Male,0,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.38,2685.68,No
2800-TKBOQ,Female,0,Yes,No,19,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,79.84,1494.95,No
3392-IUNLP,Female,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,115.81,1523.98,No
7467-OQGHU,Male,1,No,No,60,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.98,4509.0,No
2928-IMLUI,Female,0,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),110.75,7438.44,No
8517-MBOHQ,Female,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),91.92,2939.01,Yes
3209-QCEHR,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),120.0,2141.78,No
2045-UGUQU,Male,0,No,Yes,21,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.07,1513.47,Yes
3229-SFKNJ,Female,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),108.14,1179.74,Yes
5327-UCFSW,Male,0,No,No,21,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,75.58,1646.53,No
9946-PLTFZ,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.73,537.45,No
7768-UXIDE,Female,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.74,2674.87,No
5676-XYGMF,Male,0,No,Yes,6,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,74.83,463.75,No
7283-SEPQV,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.32,4976.31,Yes
6459-YFGDX,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.59,516.69,No
6677-QEJTD,Male,0,Yes,Yes,43,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),57.22,2466.36,No
4384-OMXNC,Male,0,No,Yes,25,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),72.0,1782.41,No
4613-ZGFBB,Female,1,No,No,49,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),110.01,5390.48,No
3243-MGGWC,Female,1,Yes,No,9,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.22,727.96,Yes
9564-MFTIY,Female,0,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),110.7,2008.48,No
5930-RZNCZ,Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.17,809.6,No
9470-WGRTM,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,99.05,2849.57,Yes
8230-VOMCO,Male,1,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.62,1096.67,No
6260-DHNEX,Female,0,Yes,No,11,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,83.5,911.76,No
2541-AJMKT,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.92,368.46,No
6666-SPMMP,Female,1,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.83,2063.62,Yes
3419-BZQWT,Female,1,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.23,1154.03,No
7687-MCOKF,Male,0,Yes,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.08,483.61,No
1793-HQFTI,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),103.85,632.93,Yes
4446-THKUI,Male,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),64.99,1754.41,No
3012-KKOIX,Female,0,No,No,38,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,84.57,3236.09,No
8296-LUQDG,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),90.18,2868.28,Yes
2548-WEDDM,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.62,911.59,No
7245-MVSQG,Male,0,No,Yes,30,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,109.46,3252.18,No
1955-HFWHZ,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,111.03,1663.57,Yes
9678-ZSSFE,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,94.48,5681.48,No
7407-BROXX,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,102.75,1967.37,Yes
5920-ETFIN,Male,1,No,Yes,39,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),88.09,3438.57,No
6236-HBKXV,Male,0,No,No,24,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,55.75,1361.04,Yes
4456-UUUDF,Male,1,No,No,51,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,94.24,4810.13,No
2026-VOEGJ,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),100.27,1780.61,No
8234-DNRWT,Male,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),112.47,5732.04,No
2608-JTRUO,Male,1,No,Yes,65,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),75.75,4921.77,No
9044-XBHUP,Male,0,Yes,No,14,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,62.73,867.74,Yes
2709-OIHTY,Male,0,No,No,47,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),57.47,2655.89,No
8222-NZWCR,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.52,6871.14,No
1017-MRGSE,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.48,1207.66,No
6937-VNQNQ,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.44,5798.3,Yes
2764-QSJTO,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),78.08,5163.9,No
8354-SMHHI,Male,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.44,1946.75,No
7486-RRIPS,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),80.78,1190.86,No
7622-MQWVQ,Male,0,No,No,37,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,114.48,4220.33,No
7792-EUJMR,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,109.98,4513.57,No
9872-KNCTR,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),93.66,455.27,Yes
4437-QVOLJ,Female,0,Yes,Yes,25,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,86.69,2139.12,No
2672-IUCZN,Female,0,No,No,31,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,82.2,2505.66,No
2503-ONJWD,Female,0,No,No,39,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,91.82,3575.38,No
6331-ZLCZC,Male,0,No,Yes,12,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.53,879.16,No
8888-FGFXK,Male,0,No,No,24,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,82.71,1996.39,No
3421-RSGHZ,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.05,1230.93,No
5282-KVYYI,Male,0,Yes,No,20,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),67.5,1371.94,No
7462-MQKHH,Male,1,No,Yes,5,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),78.36,441.43,No
3544-LHXVT,Female,1,No,No,61,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),87.86,5339.0,No
3862-ZZTAC,Female,0,Yes,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),82.08,5874.85,No
6919-BBMCH,Female,0,No,No,35,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,102.46,3558.45,No
7672-LSSZZ,Female,0,Yes,Yes,36,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,81.42,2934.47,No
1004-WBBYQ,Female,1,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),43.86,1150.69,No
4151-YKENE,Female,0,Yes,No,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),84.54,758.26,No
3904-NEJOA,Male,0,No,No,6,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.36,539.15,No
8500-HFOGG,Female,0,No,Yes,58,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.4,4832.27,No
5354-JCUEM,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),105.09,7560.17,No
1675-QVRJR,Female,1,No,Yes,38,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,81.42,3103.4,No
